Task, Scale Factor, N, Time, Resizes
PUSH,1.5,10000000,0.0931168,39
POP,1.5,10000000,0.0927362,78
ENQUEUE,1.5,10000000,0.101085,39
DEQUEUE,1.5,10000000,0.101939,78
PUSH,1.5,30000000,0.295094,42
POP,1.5,30000000,0.310329,84
ENQUEUE,1.5,30000000,0.332138,42
DEQUEUE,1.5,30000000,0.337636,84
PUSH,1.5,50000000,0.463272,43
POP,1.5,50000000,0.478974,86
ENQUEUE,1.5,50000000,0.650049,43
DEQUEUE,1.5,50000000,1.02338,86
PUSH,1.5,75000000,1.27408,44
POP,1.5,75000000,1.3091,88
ENQUEUE,1.5,75000000,1.32776,44
DEQUEUE,1.5,75000000,0.776062,88
PUSH,1.5,100000000,1.00451,45
POP,1.5,100000000,1.05937,90
ENQUEUE,1.5,100000000,1.23542,45
DEQUEUE,1.5,100000000,1.18038,90
PUSH,2,10000000,0.083793,23
POP,2,10000000,0.078592,47
ENQUEUE,2,10000000,0.0906811,23
DEQUEUE,2,10000000,0.0867232,47
PUSH,2,30000000,0.205228,24
POP,2,30000000,0.203699,49
ENQUEUE,2,30000000,0.225403,24
DEQUEUE,2,30000000,0.219784,49
PUSH,2,50000000,0.360897,25
POP,2,50000000,0.366522,51
ENQUEUE,2,50000000,0.401678,25
DEQUEUE,2,50000000,0.429856,51
PUSH,2,75000000,0.655217,26
POP,2,75000000,0.637589,53
ENQUEUE,2,75000000,0.72599,26
DEQUEUE,2,75000000,0.807938,53
PUSH,2,100000000,0.776111,26
POP,2,100000000,0.722712,53
ENQUEUE,2,100000000,0.810773,26
DEQUEUE,2,100000000,0.901459,53
PUSH,3,10000000,0.0917185,15
POP,3,10000000,0.0789951,31
ENQUEUE,3,10000000,0.0960198,15
DEQUEUE,3,10000000,0.0899105,31
PUSH,3,30000000,0.274397,16
POP,3,30000000,0.277216,33
ENQUEUE,3,30000000,0.282249,16
DEQUEUE,3,30000000,0.262013,33
PUSH,3,50000000,0.333895,16
POP,3,50000000,0.317812,33
ENQUEUE,3,50000000,0.362426,16
DEQUEUE,3,50000000,0.347367,33
PUSH,3,75000000,0.426698,16
POP,3,75000000,0.418207,33
ENQUEUE,3,75000000,0.509815,16
DEQUEUE,3,75000000,0.537016,33
PUSH,3,100000000,0.863623,17
POP,3,100000000,0.796248,35
ENQUEUE,3,100000000,0.937065,17
DEQUEUE,3,100000000,0.869235,35
PUSH,10,10000000,0.0553377,7
POP,10,10000000,0.0505441,15
ENQUEUE,10,10000000,0.0585594,7
DEQUEUE,10,10000000,0.0557999,15
PUSH,10,30000000,0.296602,8
POP,10,30000000,0.233738,17
ENQUEUE,10,30000000,0.321822,8
DEQUEUE,10,30000000,0.252316,17
PUSH,10,50000000,0.367442,8
POP,10,50000000,0.311658,17
ENQUEUE,10,50000000,0.400504,8
DEQUEUE,10,50000000,0.34421,17
PUSH,10,75000000,0.455027,8
POP,10,75000000,0.415231,17
ENQUEUE,10,75000000,0.489449,8
DEQUEUE,10,75000000,0.448186,17
PUSH,10,100000000,0.557323,8
POP,10,100000000,0.50411,17
ENQUEUE,10,100000000,0.593298,8
DEQUEUE,10,100000000,0.565306,17
PUSH,100,10000000,0.197978,4
POP,100,10000000,0.112885,9
ENQUEUE,100,10000000,0.201631,4
DEQUEUE,100,10000000,0.118115,9
PUSH,100,30000000,0.276183,4
POP,100,30000000,0.186781,9
ENQUEUE,100,30000000,0.275476,4
DEQUEUE,100,30000000,0.201701,9
PUSH,100,50000000,0.344737,4
POP,100,50000000,0.267394,9
ENQUEUE,100,50000000,0.359783,4
DEQUEUE,100,50000000,0.288186,9
PUSH,100,75000000,0.441286,4
POP,100,75000000,0.365376,9
ENQUEUE,100,75000000,0.453195,4
DEQUEUE,100,75000000,0.400807,9
PUSH,100,100000000,0.524275,4
POP,100,100000000,0.46275,9
ENQUEUE,100,100000000,0.542864,4
DEQUEUE,100,100000000,0.512363,9
